"NB"	"KNN[3]"	"KNN[7]"	"COMB"	"MLP"	"SVM"
"1"	0.757894736842105	0.715789473684211	0.821052631578947	0.9	0.978947368421053	1
"2"	0.587628865979381	0.670103092783505	0.783505154639175	0.9	0.969072164948454	1
"3"	0.739583333333333	0.697916666666667	0.802083333333333	0.9	0.989583333333333	1
"4"	0.652631578947368	0.694736842105263	0.778947368421053	0.9	0.947368421052632	0.968421052631579
"5"	0.697916666666667	0.6875	0.791666666666667	0.9	0.979166666666667	0.989583333333333
"6"	0.635416666666667	0.677083333333333	0.864583333333333	0.9	0.979166666666667	0.989583333333333
"7"	0.6875	0.666666666666667	0.822916666666667	0.9	0.989583333333333	0.989583333333333
"8"	0.684210526315789	0.673684210526316	0.810526315789474	0.9	0.968421052631579	0.968421052631579
"9"	0.666666666666667	0.677083333333333	0.84375	0.9	0.989583333333333	1
"10"	0.747368421052632	0.684210526315789	0.8	0.9	0.968421052631579	0.978947368421053
"11"	0.736842105263158	0.726315789473684	0.852631578947368	0.9	0.978947368421053	1
"12"	0.783505154639175	0.690721649484536	0.77319587628866	0.9	0.989690721649485	1
